id;reason;machine;coment;action;soundclip;sound_data;sound_data_content_type;created_at;updated_at
1;neural Fantastic Cotton Bike;demand-driven end-to-end systemic;program Incredible Cotton Mouse;NoAction;Customer;../fake-data/blob/hipster.png;image/png;2023-06-02T00:27:32;2023-06-02T09:25:43
2;Flats transmitter;Direct Buckinghamshire;bleeding-edge systematic hacking;Immediate;Visionary scalable;../fake-data/blob/hipster.png;image/png;2023-06-02T05:21:00;2023-06-02T09:36:15
3;optimal world-class transmitter;Sleek Frozen Computer;Salad;NoAction;Alaska productivity;../fake-data/blob/hipster.png;image/png;2023-06-01T20:48:07;2023-06-02T02:37:25
4;International Mexico Rapids;Awesome parse IB;Credit Card Account 24/7 optical;Immediate;Regional;../fake-data/blob/hipster.png;image/png;2023-06-01T22:38:48;2023-06-01T21:12:09
5;lime Liaison SSL;Jewelery Architect;efficient Tasty Croatia;Later;transmitting Infrastructure;../fake-data/blob/hipster.png;image/png;2023-06-02T14:12:37;2023-06-02T09:40:09
6;Philippines synthesizing;Licensed Loaf;invoice Diverse Human;Later;parse;../fake-data/blob/hipster.png;image/png;2023-06-01T19:41:36;2023-06-02T13:22:05
7;copying Arkansas;quantify Operations task-force;transmitting District;Immediate;parsing programming Fresh;../fake-data/blob/hipster.png;image/png;2023-06-01T17:20:38;2023-06-01T22:09:47
8;navigate;De-engineered Shoes;Small Concrete Hat sensor;Later;generating programming Designer;../fake-data/blob/hipster.png;image/png;2023-06-02T10:32:25;2023-06-02T01:46:25
9;utilize;generating hack;North Carolina Tools Sleek Steel Gloves;NoAction;e-markets mobile Berkshire;../fake-data/blob/hipster.png;image/png;2023-06-02T08:55:05;2023-06-02T12:03:27
10;Games New Jersey Pants;Washington;innovate;Later;red;../fake-data/blob/hipster.png;image/png;2023-06-02T11:31:41;2023-06-02T00:52:47
